0.000000000000000000e+00 1.000000000000000056e-01
2.500000000000000000e-01 1.000000000000000056e-01
2.510000000000000009e-01 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00
3.009999999999999787e+00 1.000000000000000056e-01
3.250000000000000000e+00 1.000000000000000056e-01
3.250999999999999890e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00
6.009999999999999787e+00 1.000000000000000056e-01
6.250000000000000000e+00 1.000000000000000056e-01
6.251000000000000334e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00
